职位,最高薪资,最低薪资,薪资,全职/兼职,经验,学历,省份,城市,区域,经度,纬度,公司,公司领域,公司规模,公司类型,职位标签,职位描述,职位详情页,公司详情页
售前文档工程师,15000.0,8000.0,8千-1.5万,全职,2年及以上,本科,,北京,,116.28744,40.048816,北京中泰创安科技,通信/电信/网络设备,50-150人,民营,"2年及以上,本科,计算机,办公软件,excel,word,ppt,招投标,招标,项目验收,资料整理,排版,专业培训,五险一金,项目奖金,零食下午茶,带薪年假,出差补贴,定期团建","岗位职责

	1.	技术文档撰写：为市场部撰写产品解决方案、产品说明书等标准化文档，确保内容准确且符合市场推广需求；为研发团队编写项目验收类文档，覆盖项目全流程验收环节的资料整理与撰写。

	2.	项目文档管理：参与项目过程中文档的编制、更新与维护，保证文档的完整性和时效性。

	3.	招投标工作：独立完成投标文件中技术部分的编写、排版与审核，包括技术方案应答、产品参数匹配、资质文件整合等；配合团队参与标书解读、答疑及讲标环节的技术支持。

	4.	跨部门协作：对接市场、研发等团队，梳理文档及招投标需求，确保输出内容符合业务场景与招标要求；招投标文档模板与技术文档规范，提升团队工作效率。

任职要求

	1.	学历专业：本科及以上，计算机等相关业。

	2.	经验能力：2年以上技术文档撰写经验，具备1年以上招投标文件编制经验，熟悉招投标全流程者优先；能独立完成各类技术文档及投标文件的编制工作。

	3.	技能要求：精通Word、Excel、PPT、等办公软件，掌握文档排版与格式规范；具备基础的智能穿戴产品技术认知，能快速理解产品功能与技术参数；了解招投标相关法律法规及行业规范，可应对投标文件的合规性审核。

	4.	综合素养：优秀的文字表达与逻辑思维能力，注重细节；良好的沟通协作与抗压能力，能适应招投标项目的紧急交付节奏。",https://jobs.51job.com/beijing-hdq/171261331.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coCGZWM1I0Bz9RNFcwVDk.html
结构设计工程师,12000.0,10000.0,1-1.2万,全职,2-5年,大专,,北京,,116.248847,40.077466,加禾科技（深圳）,计算机硬件,50-150人,民营,"2-5年,大专,产品开发,photoshop,结构设计,包装,试产,服务器,设计方案,钣金,量产,五险一金,补充医疗保险,餐饮补贴,年终奖金,定期体检,绩效奖金,专业培训","工作职责：
1、负责公司定制的工控机、服务器产品进行设计开发；
2、参与新产品开发的各个阶段：包括新产品的设计和策划、输入、输出、确认、试产、量产等阶段。并对本部门开发流程、计划、开发标准的实施进行监督；
3、负责图纸设计，样品封样和生产装配等各个环节的工作。与客户对接、沟通项目设计方案，跟踪设计进度，督促生产环节严格按照图纸要求进行制作，确保在规定的交期内保质、保量完成结构工程；68
4、审核结构设计方案，检验生产产品与图纸是否一致，对设计开发成果进行评审和改进，及时发现生产中出现的结构问题并分析处理。分析总结设计开发过程的经验和教训；
5、对结构方案局部设计及图纸补充，对设计开发过程中的文件档案进行规范化管理存档，形成内部的资源库。

任职要求：
1、钣金、塑胶件等产品的结构设计工作经验；
2、熟练掌握Pro/E、SolidWork、CAD等软件进行结构设计，熟悉Coreldraw、Photoshop等软件进行包装及外观图制作；
3、具有工控机、服务器、网络机柜、网安产品及各类非标定制类机箱相关设计工作经验者优先；
4、具有独立处理专案项目的整体产出工作；
5、具备良好的沟通能力、协调能力。",https://jobs.51job.com/beijing-hdq/165232275.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAGBSPlE7Az0BZlA6AmA.html
技术服务工程师,9000.0,7000.0,7-9千,全职,2年及以上,大专,,北京,,116.30055,40.100975,成都永新医疗设备,医疗设备/器械,150-500人,合资,"2年及以上,大专,计算机,测试,调试,维修,安装,软件,物理,设备安装,技术文档,协调,五险一金,员工旅游,定期体检,周末双休,年终奖金,培训","职责描述：
1.　负责本公司产品的安装、调试工作；
2.　负责产品的售后维修和维护服务工作，并高效完成任务；
3.　负责对用户进行产品的操作培训；
4.　为用户在产品使用过程中出现的问题提供解答；
5.　负责已安装产品的升级和更新；
6.　对用户在产品使用过程中的设计问题的进行反馈；
7.　配合研发部门进行技术调研工作；
8.　协调研发对产品在使用过程中出现的设计问题进行修改、测试；
9.　负责对技术服务部涉及产品技术文档进行编写、修改及审核；
10.　严格遵守公司的各项管理制度，服从部门领导的工作安排；
11.　对所负责的售后设备进行定期的巡查维护，树立良好形象，维护公司信誉；
12.　对工作中解决不了的问题或出现的产品质量问题，要及时向上级主管反映，寻求解决办法；
13.　完成部门领导交办的其它任务。

任职要求：
1.　机电一体化、电子电气、计算机等相关专业；
2. 具备电子电气硬件专业知识，具备一定的电气控制知识；
3. 对医学影像设备、物理，电子学和软件等有关的行业有一定的了解；
4. 有2年以上大型设备安装、调试、维修经验；
5. 具备较强的的沟通能力、文档编辑以及客户公关能力。",https://jobs.51job.com/beijing-cpq/169247528.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coVDAHZAJhU2VVOABmB2c.html
阿里云智能-AI销售专家-北京（京津大区）,20000.0,10000.0,1-2万,全职,5-7年,本科,,北京,,0.0,0.0,阿里云计算,计算机软件,10000人以上,民营,"5-7年,本科","行业洞察与机会识别
根据阿里云AI战略发展方向，结合人工智能技术演进与行业变革趋势，前瞻性地识别并开拓重点目标客户在大模型、智能计算等领域的业务机会
客户AI场景挖掘
能够深入调研客户业务场景，敏锐捕捉行业中的应用痛点与创新潜力，结合阿里云产品及技术优势，促进客户需求与云产品的有效结合，提供立体、专业的咨询及服务，帮助客户成功，并沉淀行业解决方案
项目对接与商机转化
与客户或合作伙伴进行重点项目对接，能向客户高层解析阿里云AI优势，向业务高管呈现具有说服力的AI投资回报率（ROI）分析，加速商机转化
资源整合与***实践沉淀
善于整合技术、生态与商业资源，攻克AI落地中的关键挑战，与客户技术决策层及生态合作伙伴建立深度信任关系，沉淀可复用的行业解决方案与***实践，为阿里云AI战略的长期发展储备关键客户与技术资产

61 5-7年工作经验，具备云计算或数字化转型相关领域项目经验，对人工智能（尤其是大模型、深度学习、智能计算等前沿领域）有深刻的理解和持续的热情
61 有成功推动大模型应用、智能系统落地项目者优先
61 能洞察细分领域市场空间、需求和痛点、方案机会点等。
61 独立call high肩部客户CTO/客户项目负责人，完成有效的业务和技术交流，影响并加速决策。
61 把控谈判节奏，独立完成项目谈判，获得目标结果。
61 独立带项目，并为项目目标整合资源。
61 成功运作项目，解决项目中复杂问题。
61 独立推动、达成和当地生态伙伴的深度合作，解决重大业务纠纷和问题。
61 生态伙伴合作策略落地，赋能并激发伙伴动力，带来业务回报。
61 熟练掌握对应行业主打解决方案，能深度解读阿里云标杆案例，掌握方案的核心优势及差异化竞争能力。
61 理解客户业务和数字化转型需求，诊断具体业务场景中客户的技术问题，提供有竞争力的解决方案。",https://jobs.51job.com/beijing/168905983.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coB2dWNQNoU2QGagNnAm4.html
口腔门诊智能工牌销售合伙人,10000.0,5000.0,5千-1万,全职,1年及以上,中技/中专,,,,0.0,0.0,北京华琪软通技术,通信/电信/网络设备,少于50人,民营,"1年及以上,中技/中专,口腔行业,洁牙,定期体检,免费体检,五险一金,带薪年假,年终奖金,项目奖金,有餐补,通讯补贴,交通补贴,出差补贴","北京华琪软通技术有限公司成立于2004年，专门为口腔行业研发了基于大模型的智能工牌：
为咱们口腔咨询师提供一个人工智能助手，可以将咨询师与客户谈话过程自动录音，通过大模型对谈话内容进行深度分析，分析出客户的各种画像，比如：本次就诊需求、价格接受程度、去过哪些品牌口腔门诊、本次成交概率、有哪些顾虑、家里成员口腔情况、本次来访沟通内容总结、咨询师答复的治疗方案、方案费用等非常有价值的内容。为咨询师自动生成针对这个客户的跟进策略文字内容，回访建议话术文字内容以及有哪些潜在需求，如牙周需要治疗、需要洁牙或修复等。
为口腔门诊管理层提供完整的过程管理数据：每个咨询师每天跟多少个客戶沟通？初诊多少，复诊多少、再消费多少？咨询师给客户推介方案时讲解是否到位，营销活动执行是否到位，用数据衡量每个咨询师的服务质量，***化每个咨询师的优势，哪个门店的咨询师讲的***，好在哪？挖掘咨询师沟通亮点，查缺补漏，做到门诊咨询师水平的整体提升，从而做到整体业绩的提升。 
为口腔门诊运营主管：提供详细且真实的患者群画像分析，了解患者真实关注点与阻碍点以及竞品分析等，用数据辅助口腔门诊运营决策。可以查看咨询师跟进策略执行情况，跟客户沟通话术是否精准、逼单情况、留客情况、升单复购情况。
应聘要求如下：
一、满足以下条件者优先考虑：
1、有口腔行业销售公关经验
2、善于沟通，有亲和力
3、工作地点可以在全国任意的地级市，也可以双方协商确定工作地点，主要以省会城市或地级市为主
二、岗位工作内容：
1、负责所在城市范围内口腔智能工牌产品的销售和货款回收工作
2、能够尽快熟悉公司口腔智能工牌产品，与客户沟通完成销售工作
3、能根据市场、客户的需求，积极向公司提出产品改进意见
4、语言表达和文字处理能力良好
5、有团队协作精神，勇于进取，求知欲强，学习能力强
三、岗位要求：
1、有良好的语言表达能力和标准的普通话；
2、一年以上营销工作经验；
3、熟练使用Microsoft Word/Excel/PowerPoint等工具。
4、有较强的人际沟通能力。
5、请附上期望薪金
四、满足以下条件者优先考虑
1、具有广泛的计算机软件基础知识
2、热爱销售工作",https://jobs.51job.com/all/170614496.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coCW0AZFY2ATtUNlM0VDM.html
MySQL DBA,20000.0,15000.0,1.5-2万·13薪,全职,4年及以上,本科,,北京,,116.23886,40.152278,上海新炬网络信息技术,计算机服务(系统、数据服务、维修),1000-5000人,已上市,"4年及以上,本科,计算机,数据库,redis,运维,shell,docker,hadoop,hbase,应急预案,tb,五险一金,员工旅游,通讯补贴,定期体检,年终奖金,周末双休,节日福利,绩效奖金,团建活动,带薪年假,节假日礼品","岗位职责：
1、负责MySQL数据库的备份、恢复、监控、迁移等日常运维工作。
2、负责MySQL性能的调优，保证数据库安全、稳定、高效运行。
3、制定和改进应急预案、策略和流程，提高服务运行质量

任职要求：
1、本科及以上学历，计算机相关专业。
2、熟悉MYSQL存储引擎、索引、事务、锁、分表等优化措施的设计和实施，并配合开发人员优化数据库访问语句。
3、熟悉MySQL复制、负载均衡方案、高可用技术方案。
4、熟悉Shell、Python脚本语言至少一种。
5、熟悉docker的基础操作
6、对数据库相关技术有强烈的兴趣和热情。
7、抗压能力强，有强烈的责任心和上进心，良好的沟通能力和学习能力。
8、具有redis，hadoop，hbase运维经验者优先。
9、4年以上MYSQL DBA工作经验，有海量数据、TB级别数据库运维经验优先
10、有良好的沟通表达能力和文档编写能力",https://jobs.51job.com/beijing/169584731.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coA2QGalY2VmAOaQVvAGY.html
高级开发工程师,20000.0,18000.0,1.8-2万,全职,1-3年,本科,,北京,,116.280597,40.103428,北京贝瑞和康生物技术,制药/生物工程,1000-5000人,已上市,"1-3年,本科,计算机,java,mysql,oracle,数据库,spring,jquery,linux,springboot,mybatis,定期体检,专业培训,绩效奖金,餐饮补贴,交通补贴,做五休二,六险一金,节假日福利","岗位职责：
 1.参与公司信息系统项目的需求分析、设计、编码及测试工作；
 2.负责信息系统项目各模块的开发工作，解决开发过程中的技术问题，确保项目的顺利推进；
 3.编写和维护相关技术文档，确保文档的准确和完善；
 4.保障现有服务的稳定性，快速定位并修复服务缺陷。
任职要求：
 1.本科及以上学历，计算机相关专业，五年以上工作经验；
 2.Java基础扎实，编码风格良好，熟悉B/S开发；
 3.良好的JS基础；
 4.精通Spring、SpringMVC、SpringBoot、SpringCloud、MyBatis、Nginx、ActiveMQ，Jquery等框架/工具，并能熟练使用；
 5.熟练掌握常用的Linux命令及shell脚本；
 6.熟悉Oracle、MySQL等关系型数据库及NoSQL数据库（如Redis），并能根据业务需求设计数据库结构及优化SQL；
 7.有Word生成开发经验者优先；
 8.熟悉ExtJS、ReactJS、K8S、Docker等技术者优先。",https://jobs.51job.com/beijing/171476136.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coVTFTMl46VW0EY1Q_UzY.html
php开发工程师 (MJ002349),15000.0,10000.0,1-1.5万,全职,1-3年,本科,,北京,,116.341399,39.981684,北京希瑞亚斯科技,计算机软件,500-1000人,民营,"1-3年,本科,计算机","计算机科学或相关专业本科及以上学历，具备扎实的计算机基础知识和编程能力。
精通PHP编程语言，熟悉Laravel、Symfony、Yii等主流PHP框架之一，并有实际项目开发经验。
熟悉MySQL、PostgreSQL等关系型数据库，具备SQL优化能力。
了解NoSQL数据库（如Redis、MongoDB）的使用和场景。
熟悉Web开发技术栈，包括HTML/CSS/JavaScript/AJAX等前端技术，以及HTTP协议和RESTful API设计。
有良好的面向对象编程思想，熟悉设计模式，能编写可维护、可扩展的代码。
具备良好的沟通能力和团队合作精神，能够在快节奏的环境中工作。
有良好的英文阅读能力，能够阅读英文技术文档。
有Git等版本控制工具使用经验，了解持续集成/持续部署（CI/CD）流程者优先。
测试",https://jobs.51job.com/beijing-hdq/169662282.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAGBVNl4_ADkDZlczVDg.html
售前解决方案工程师（AI大模型）,20000.0,15000.0,1.5-2万,全职,3年及以上,本科,,北京,,116.395976,39.876738,中数通信息,计算机软件,1000-5000人,国企,"3年及以上,本科,计算机,解决方案,售前,客户关系,需求分析,五险一金","岗位职责：
1、负责对接客户，深度挖掘客户AI相关需求，结合公司大模型产品竞争优势及技术特点，输出具备竞争力且可落地的AI大模型解决方案。
2、负责方案的宣讲、演示及技术答疑，配合销售团队完成客户跟进、需求确认及商务谈判等相关工作。
3、独立完成招投标相关技术文档撰写、述标答辩等工作，保障招投标流程顺利推进。
4、负责梳理客户需求，联动产品、研发等团队，推动解决方案的优化迭代及落地执行。
5、负责输出售前相关文档（技术方案、PPT、招投标文件等），确保文档的专业性、准确性和完整性。
6、配合完成项目现场支撑、客户需求回访等工作，提升客户满意度，维护良好的客户关系。

岗位要求：
1、本科及以上学历，硕士学历、软件工程、计算机、电子信息或相关专业者优先。
2、具备3年以上解决方案相关工作经验，有1年及以上大模型解决方案相关经验者优先。
3、掌握大模型(LLM)、RAG、Agent工作流等基本原理，明确技术边界与落地场景。
4、深度了解公司AI大模型相关产品的知识体系，包括但不限于需求分析、产品规划、功能设计等。
5、可基于客户侧的 AI 需求，结合公司大模型竞争态势及产品优势，输出 AI大模型解决方案，确保方案竞争力及与可落地性;
6、具备扎实的大数据生态核心技术储备，熟悉数据仓库、数据湖、实时计算、离线计算等大数据场景解决方案。
7、熟悉云服务体系（IaaS、PaaS、SaaS），拥有云、网、安相关项目经验者优先。
8、具备优秀的售前能力，擅长挖掘客户潜在需求、呈现解决方案、高效开展技术沟通。有独立完成招投标技术方案撰写、述标答辩经验者优先。
9、具备良好的文档撰写能力，可独立输出高质量技术方案、PPT宣讲材料、招投标技术文档。
10、具备良好的团队协作精神、责任意识与较强的抗压能力，工作认真细致、执行力强，能够适应项目现场支撑与短期出差。具备良好的团队协作与客户服务意识。",https://jobs.51job.com/beijing/171534958.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coVDAAYANhUm0.html
数据中心-应用安全岗-北京(J77108),35000.0,20000.0,2-3.5万,全职,3年及以上,硕士,,北京,,116.439321,39.936656,人保信息科技,计算机软件,1000-5000人,国企,"3年及以上,硕士,计算机,网络安全,保险,五险一金,补充医疗保险,餐饮补贴,绩效奖金,全额社保,采暖补贴,高温补贴,定期体检,带薪年假,周末双休","工作职责:
1.负责制定和完善应用安全相关制度、指标和要求，规范通用安全组件和应用开发安全基线；
2.负责规范应用安全开发流程，强化关键环节风险管控，落实安全前置，开展应用开发安全风险评估，实现应用开发全流程安全管理；
3.负责持续完善应用安全防护体系，进行应用安全工具平台建设和推广，实现安全检测能力与开发过程相融合；
4.负责应用层安全检测，确保应用系统不存在重大网络安全漏洞。
任职资格:
1.计算机及相关专业；
2.具备三年以上应用安全相关经验，掌握网络和应用安全基础知识，熟悉信息安全基本原理、方法和技能；
3.熟悉应用全生命周期管理各环节安全评估要点，掌握常见应用层漏洞成因、影响和修复方法；
4.掌握主流的代码检测、渗透测试、漏洞扫描原理和相关工具使用方法；
5.具备金融、保险行业应用安全工作经验优先。",https://jobs.51job.com/beijing-dcq/169334335.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coB2ddMAVvUmQPYlMyVjo.html
python开发工程师,18000.0,15000.0,1.5-1.8万,全职,5年及以上,本科,,北京,,116.56746,40.193029,龙源数字城市（北京）科技,计算机软件,150-500人,民营,"5年及以上,本科,计算机,mysql,数据库,linux,redis,设计模式,docker,mongodb,功能开发,技术文档,项目奖金,专业培训,五险一金,补充医疗保险,带薪年假","岗位职责：
1. 负责前后端功能开发及接口设计，参与核心模块的架构优化与落地；
2. 构建高性能、可维护的服务端系统，支持大模型应用和agent平台运行；
3. 搭建公共组件库、编写技术规范，推进研发标准化与效率提升；
4. 熟悉容器化部署流程，参与K8s/Docker环境下的服务运维与上线。

任职要求：
- 计算机相关专业，本科及以上学历，5年以上Python开发经验
- 良好的算法基础，独立思考和解决问题的能力。
- 编写高质量的代码，熟悉设计模式，软件架构。
- 熟练编写高质量技术文档，具备较强的独立交付与团队沟通能力。
- 精通FastAPI、Flask、Django等Web框架，掌握微服务架构设计能力。
- 有LLM应用后台，RAG、视频处理等开发经验者优先。
- 熟悉MySQL、Redis、MongoDB等常用数据库及设计优化能力；熟悉ElasticSearch混合SQL+向量数据查询优先；
- 熟悉K8s、Docker、Linux，具备稳定的DevOps意识，可以独立部署优先。",https://jobs.51job.com/beijing-syq/169953347.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coVDpSPgJlATYHZQ1sUDI.html
ARGO事业部-解决方案架构师（金融科技）-北京,20000.0,10000.0,1-2万,全职,8-9年,本科,,北京,,120.043791,30.32443,阿里云计算,计算机软件,10000人以上,民营,"8-9年,本科","客户需求洞察及方案设计
• 掌握并理解客户的业务场景、整体技术架构、业务与IT战略优先级及业务成功指标，挖掘客户潜在需求，提供能满足客户需求的云和AI全栈方案，规划业务策略和实现路径，解答客户对产品、解决方案的常规问题。
• 基于对技术发展趋势的把握，作为策略规划和架构专家，与客户共同规划未来云和AI业务与技术规划，成为其可信赖的顾问，识别其中潜在的合作机会，并提出具备前瞻性的方案和架构设计。
售前引导与实操能力
• 针对客户对AI算力、大模型应用场景落地等需求，通过标杆案例及场景化演示，向客户高层展示阿里云AI全栈产品的竞争优势，确保技术方案与客户业务目标深度绑定。
• 通过技术影响力的建立，维护客户关系，构建PoC测试和方案选型，对POC结果负责，就安全性、稳定性、性能、可持续性和运行效率给出技术建议。

技术策略制定和项目赢单
• 分析复杂客户的情况，提出基于阿里云解决方案的建议，制定产品选型策略和技术路线图，将阿里云全栈AI产品技术与客户业务需求结合，帮助客户拓展AI应用新场景，推动技术采用。
• 针对重点项目/客户，面向客户高层介绍阿里云产品和解决方案的优势，传递技术价值及其带来的业务收益，引领客户向AI转型，推动项目顺利签约。
• 在售前规划和方案实施过程中，识别并有效应对技术和项目风险，协同产研及交付团队正常履约，实现收入转化，优化阿里云的效果与客户满意度。

能力沉淀和赋能
• 构建可复用的知识资产：沉淀面向细分领域/场景的通用云架构模板、AI解决方案***实践、细分领域标杆案例等知识文档。
• 内部团队、生态伙伴、客户赋能和培训。

产品需求和改进反馈
• 识别和理解阿里云平台的技术问题和机会，传递客户需求和反馈给产品团队，影响功能开发和未来产品路线图，保持阿里云产品的市场竞争力
• 将客户使用中遇到的影响客户体验的问题，反向推动内部解决，推动内部产品解决方案和流程体系的改进。

• 5年以上技术开发经验（架构设计、软件开发、SRE）
• 有云架构方案设计、大数据/数据库、云原生、AI技术领域经验优先
• 具备云和全栈AI技术理论，了解外部技术发展趋势，能向客户中高层阐述阿里云产品的差异化价值定位和方案的具体优势。
• 能和客户CTO-D及以下层级独立建立技术互信，影响客户上云和AI策略，引导客户做出对阿里云有利的技术选择。
• 熟悉多个云产品（七大件等）及全栈AI的功能架构、适用场景、市场策略和竞争策略等，能清晰描述在自身擅长领域内阿里云的完整核心技术优势。
• 能够制作出细分领域的技术架构方案，撰写细分领域的通用招投标材料或汇报模版。
• 深入了解客户业务，理解客户真实需求，识别、开发商业合作机会，能完成面向客户中高层的方案汇报，影响客户技术选型。
• 在AI大模型方向具备落地实践能力，如数据处理、RAG、模型微调、大模型部署推理优化等，能向客户中高层展示阿里云AI全栈产品的竞争优势。
• 能制定正确的产品选型策略、POC测试策略、招投标策略、产品配置策略等。
• 能协调整合跨部门资源，推动上级主管通过跨BU、集团生态和外部资源的整合，保障重大项目赢单，沉淀组织能力。
• 能提出细分领域有效的产品改进意见，推动产品缺陷修复、功能完善、迭代升级。",https://jobs.51job.com/beijing/171635812.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coB2dWNQNoU2QGagNnAm4.html
智慧交通算法工程师,40000.0,20000.0,2-4万,全职,3年及以上,博士,,北京,,116.16239,39.923145,深圳市阿拉丁无人机,航天/航空,150-500人,民营,"3年及以上,博士,计算机,数学,软件,智能交通,交通工程,城市交通,信号控制系统,交通信号控制,python,c++,五险一金","岗位职责
1、负责国内外城市交通、高速控制算法相关关键技术研究；
2、负责智慧交通需求调研、数据与复杂场景建模；
3、负责交通大数据分析与应用相关研究；
4、参与智慧交通控制项目的整体方案设计，负责数据结构、算法设计开发的技术工作；
5、撰写并发表技术研究相关论文，协助申请相关软著、专利；
6、领导交办的其他临时任务。
任职资格
1、年龄：985、211学校，27-45岁，性别不限，有责任心，长期稳定者优先；
2、学历：博士、博士后（985、211统招硕士学历），数学、交通工程、信息控制工程、计算机、软件工程等相关学科专业；
3、熟悉信号控制系统相关理论和交通工程相关理论，有交通信号控制项目或研究经验者优先；
4、熟练掌握Python、Matlab、C++至少一门编程语言；
5、具备SUMO、VISSIM、Paramic等交通仿真软件开发工作经验优先；
6、1000辆车在10平方公里内全部运行高德导航，加上实时数字孪生的无人机卫星看地面，分辨率1厘米；
7、实现全部车在系统给出指导速度值行驶，路过红绿灯时全部绿灯的算法；
8、极强的责任心、细心和用心，人品优秀和严谨的工作作风；
9、吃苦、务实、勤奋、上进、学习，执行力强，团队协作、服从工作安排，独立完成自己的工作；
10、特殊技能人才工资可面议。",https://jobs.51job.com/beijing-sjsq/166798246.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coVjlTMANlVWxRMFM5BWY.html
研发部——后端开发工程师,20000.0,10000.0,1-2万,全职,2年及以上,本科,,北京,,116.482638,39.923292,人民网,互联网/电子商务,1000-5000人,已上市,"2年及以上,本科,计算机,java,mysql,spring,mybatis,springmvc,redis,调试,springcloud,hibernate","职位描述：
1.根据公司要求独立完成后台服务平台应用程序分布式组件开发设计、调试工作； 
2.根据项目任务计划独立按时完成软件高质量编码和单元测试工作； 
3.规范文档的编写、维护，以及其他与项目相关工作； 
4.按照开发流程编写相应模块的设计文档； 
5.按时按需完成客户端软件接口及后台管理软件的维护及更新。

任职资格：
1.良好的政治素质和思想品德；热爱党的新闻事业，恪守新闻工作者职业道德；遵纪守法，无不良从业行为记录；
2.大学本科及以上学历，计算机相关专业，2年以上工作经验； 
3.精通Java语言，精通多线程编程、网络编程，理解Java虚拟机调优； 
4.精通spring，springMVC架构，了解springcloud等微服务架构，熟悉UML建模，数据建模等，模式设计； 
5.精通JDBC/MyBatis/Hibernate等数据库编程技术，能够熟练使用MySQL； 
6.熟悉redis、memcached等常用缓存技术，熟悉solr、elasticsearch等常用全文检索服务； 
7.精通HTTP协议,熟悉TCP/IP协议，Socket和NIO编程。具有独立设计并实现高并发、高可用的大型Java应用、分布式文件信息处理的能力； 
8.熟悉Linux基本操作，熟练配置维护Tomcat/jetty等服务，较强的分析能力和故障排查能力； 
9.有分布式缓存、分布式存储、数据库水平切分设计经验者优先，具有互联网商业应用者优先； 
10.了解docker等容器技术，有CI/CD持续集成部署经验的优先； 
11.熟悉html/css/Javascript等前端开发技术，具有vue、react等前端开发经验者优先； 
12.认真、仔细、主动、负责，能承受高强度压力，具有良好的团队合作精神。",https://jobs.51job.com/beijing-cyq/169572290.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coVTEGZFE0AjsFYg1uVjA.html
网络安全运维工程师,23000.0,12000.0,1.2-2.3万,全职,3年及以上,本科,,北京,,116.210712,39.913584,中铁建网络信息科技,计算机软件,150-500人,国企,"3年及以上,本科,计算机,项目管理,安全检查,网络安全,防火墙,vpn,渗透测试,cisp,安全设备,cissp,五险一金,补充医疗保险,通讯补贴,餐饮补贴,绩效奖金,定期体检,取暖补贴,防暑降温","【岗位目标】
根据部门项目计划，实施网络安全巡检、监控、分析、研判等工作，为项目提供网络安全保障。
【岗位职责】
1. 对安全设备的运行情况进行巡检；对安全设备、网络流量的运行情况进行监控；对流量进行分析、研判，通知并协助相关人员处理。
2. 对安全设备配置、日志等文件进行备份；定期进行恢复演练，验证备份文件的有效性；整理应急方案，并定期进行验证。
3. 根据安全设备运行情况进行配置优化；根据需求，对安全策略进行调整。
4. 实施漏洞扫描、渗透测试或安全检查工作，并协助相关人员完成整改；编写漏洞扫描、渗透测试或安全检查报告。
【任职资格】
1. 大学本科及以上学历，计算机、网络安全等相关专业。
2. 3年以上网络安全行业工作经验，有项目管理工作经验者优先。
3. 具有CISSP、CISP、CISAW等资格证书者优先。
4. 熟悉安全运维的安全监控、安全研判、风险处置、应急响应等的流程及方法；掌握常见网络安全产品，如防火墙、WAF、VPN、IDS/IPS、堡垒机、病毒防护、日志审计等的运维操作。
5. 良好的组织计划能力、沟通协调能力、问题解决能力、分析判断能力、创新能力和学习能力。",https://jobs.51job.com/beijing-sjsq/165624080.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coB2VVMVU2AjxUNQdnUjc.html
售前售后技术支持,8000.0,7000.0,7-8千·13薪,全职,1年,本科,,北京,,116.34594,39.980291,北京凯迪兴业网络技术,计算机软件,50-150人,民营,"1年,本科,技术支持,技术培训,计算机,安装调试,测试,判断产品故障,五险一金,交通补贴,餐饮补贴,通讯补贴,专业培训,绩效奖金,年终奖金,节日福利,出差补助,年底十三薪","岗位职责
 
1.&nbsp;负责产品售前、售后技术支持工作
2.&nbsp;为客户及公司内部开展技术培训
3.&nbsp;通过电话或现场判断产品故障，协助客户排查、解决问题
4.&nbsp;新采购设备测试及成品检测
5.&nbsp;服务器、PC电脑维修与故障排除
6.&nbsp;能适应短途出差
7.&nbsp;完成系统集成项目现场施工：强弱电布线、摄像头调试、软硬件设备安装调试
 
任职要求
 
1.&nbsp;本科及以上学历，电子、计算机、通讯等相关专业
2.&nbsp;熟练掌握计算机软硬件操作
3.&nbsp;为人正直、乐观开朗、沟通表达良好，普通话流利，动手能力与学习能力强
4.&nbsp;具备英语交流能力者优先
5.&nbsp;欢迎优秀应届生投递，离校未就业高校毕业生优先录用",https://jobs.51job.com/beijing-hdq/165618654.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coVDBWNVY2UWtUOANmAmU.html
